ad_category_1,users,final_score_mean,professionalism_mean,charisma_mean,expertise_mean
Электроника,226,73.6891150442478,0.6508887589012198,0.5722318544356496,0.6871142888907885
Авто,193,73.54533678756476,0.695565278655217,0.5780058966544506,0.703355021135393
Услуги,160,73.07124999999999,0.664715429375523,0.5565735053624401,0.6738577281572475
Недвижимость,103,72.78766990291263,0.6632535312053915,0.564522306022785,0.5499155614764883
Дом и сад,94,73.34936170212767,0.6821452133998157,0.5700824002131921,0.585989623876655
Хобби и отдых,92,73.18358695652174,0.700533929049775,0.5635681061310069,0.5888591641560371
Дети и игрушки,71,74.06704225352112,0.6824062398783565,0.565935997823099,0.5952482063599365
Одежда и обувь,61,73.57737704918033,0.7164054131903184,0.5634992150549836,0.5114733108303293
