ad_category_1,users,seller_share,ads_mean,deals_mean,questions_mean,rating_mean,followers_mean,views_per_day_mean
Электроника,17021,0.5562540391281359,28.00705011456436,18.883379354914517,1.90574201124915,4.70664975738862,333.16315140121026,201.75724105516716
Авто,14278,0.5557501050567306,29.21249474716347,19.857823224541253,1.901496608670009,4.708851643315438,334.0828547415604,200.77882056310406
Хобби и отдых,10828,0.546268932397488,27.68184336904322,18.646195049870705,1.880997370215253,4.701520181722873,332.0628001477651,197.13603620243813
Недвижимость,9849,0.550817341862118,27.646156970250786,18.933800385825972,1.8939939939939938,4.703486590038314,328.110975733577,205.41415372118996
